website	country	city
 https://www.embassypages.com/missions/embassy25229/	Thailand	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy25227/	Thailand	Hull, Consulate
 https://www.embassypages.com/missions/embassy25228/	Thailand	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy3459/	Tunisia	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy3443/	Tunisia	Manchester, Consulate
 https://www.embassypages.com/missions/embassy3448/	Tunisia	Reading, Consulate
 https://www.embassypages.com/missions/embassy6251/	Turkey	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy13193/	Tuvalu	London, Consulate
 https://www.embassypages.com/missions/embassy17360/	Ukraine	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy19112/	United States	Belfast, Consulate General
 https://www.embassypages.com/missions/embassy19113/	United States	Edinburgh, Consulate General                       
